,leagueId,number_of_teams,startId,endId,seasonId,status_code
767,48468924,10,48357343,48857343,2019,200
768,48468924,10,48357343,48857343,2020,200
769,48468949,8,48447291,48547291,2020,200
770,48469123,4,48447291,48547291,2020,200
771,48469322,12,48447291,48547291,2020,200
772,48469629,8,48447291,48547291,2020,200
773,48469692,8,48447291,48547291,2020,200
774,48469744,10,48447291,48547291,2020,200
775,48470497,10,48447291,48547291,2020,200
776,48470572,8,48447291,48547291,2020,200
777,48470614,10,48357343,48857343,2019,200
778,48470614,10,48357343,48857343,2020,200
779,48470670,10,48447291,48547291,2020,200
780,48471361,10,48357343,48857343,2019,200
781,48471361,10,48357343,48857343,2020,200
782,48471446,10,48447291,48547291,2020,200
783,48471687,14,48447291,48547291,2020,200
784,48471781,6,48357343,48857343,2019,200
785,48471781,6,48357343,48857343,2020,200
786,48472132,10,48447291,48547291,2020,200
787,48472368,4,48357343,48857343,2019,200
788,48472368,4,48357343,48857343,2020,200
789,48473015,10,48447291,48547291,2020,200
790,48473047,12,48447291,48547291,2020,200
791,48473653,10,48447291,48547291,2020,200
792,48474046,10,48447291,48547291,2020,200
793,48474275,6,48447291,48547291,2020,200
794,48474834,10,48447291,48547291,2020,200
795,48474897,8,48447291,48547291,2020,200
796,48475079,10,48447291,48547291,2020,200
797,48475241,8,48447291,48547291,2020,200
798,48475506,4,48447291,48547291,2020,200
799,48475670,12,48447291,48547291,2020,200
800,48475766,7,48447291,48547291,2020,200
801,48475918,10,48447291,48547291,2020,200
802,48476882,13,48447291,48547291,2020,200
803,48476917,10,48447291,48547291,2020,200
804,48477963,10,48447291,48547291,2020,200
805,48478094,12,48447291,48547291,2020,200
806,48478563,10,48357343,48857343,2019,200
807,48478563,10,48357343,48857343,2020,200
808,48478775,10,48447291,48547291,2020,200
809,48478849,8,48447291,48547291,2020,200
810,48478908,8,48447291,48547291,2020,200
811,48479127,10,48447291,48547291,2020,200
812,48480398,8,48447291,48547291,2020,200
813,48480538,10,48447291,48547291,2020,200
814,48480621,12,48357343,48857343,2019,200
815,48480621,12,48357343,48857343,2020,200
816,48480629,10,48447291,48547291,2020,200
817,48480933,8,48447291,48547291,2020,200
818,48480971,8,48447291,48547291,2020,200
819,48481027,8,48447291,48547291,2020,200
820,48481274,8,48447291,48547291,2020,200
821,48481344,10,48447291,48547291,2020,200
822,48481734,10,48447291,48547291,2020,200
823,48481803,10,48447291,48547291,2020,200
824,48481994,10,48447291,48547291,2020,200
825,48482386,10,48447291,48547291,2020,200
826,48482607,8,48447291,48547291,2020,200
827,48482665,6,48357343,48857343,2019,200
828,48482665,6,48357343,48857343,2020,200
829,48482921,10,48447291,48547291,2020,200
830,48483010,10,48447291,48547291,2020,200
831,48483141,8,48447291,48547291,2020,200
832,48483293,10,48447291,48547291,2020,200
833,48483491,10,48447291,48547291,2020,200
834,48484338,10,48447291,48547291,2020,200
835,48484657,12,48447291,48547291,2020,200
836,48485053,12,48357343,48857343,2019,200
837,48485053,12,48357343,48857343,2020,200
838,48485139,4,48447291,48547291,2020,200
839,48485596,12,48447291,48547291,2020,200
840,48485790,12,48447291,48547291,2020,200
841,48485963,12,48447291,48547291,2020,200
842,48486045,9,48447291,48547291,2020,200
843,48486335,8,48447291,48547291,2020,200
844,48486503,12,48357343,48857343,2019,200
845,48486503,12,48357343,48857343,2020,200
846,48487286,8,48447291,48547291,2020,200
847,48487697,10,48447291,48547291,2020,200
848,48487707,10,48447291,48547291,2020,200
849,48488817,17,48447291,48547291,2020,200
850,48489026,8,48447291,48547291,2020,200
851,48489245,8,48447291,48547291,2020,200
852,48489566,10,48447291,48547291,2020,200
853,48489817,8,48447291,48547291,2020,200
854,48489972,8,48447291,48547291,2020,200
855,48490165,10,48447291,48547291,2020,200
856,48490471,10,48447291,48547291,2020,200
857,48492414,8,48447291,48547291,2020,200
858,48492508,8,48447291,48547291,2020,200
859,48492829,12,48447291,48547291,2020,200
860,48492841,10,48447291,48547291,2020,200
861,48493171,8,48447291,48547291,2020,200
862,48493725,13,48447291,48547291,2020,200
863,48493807,12,48447291,48547291,2020,200
864,48494141,10,48447291,48547291,2020,200
865,48494154,10,48447291,48547291,2020,200
866,48494250,8,48357343,48857343,2019,200
867,48494250,8,48357343,48857343,2020,200
868,48494264,5,48447291,48547291,2020,200
869,48494624,12,48447291,48547291,2020,200
870,48494774,10,48447291,48547291,2020,200
871,48494915,10,48447291,48547291,2020,200
872,48495619,10,48447291,48547291,2020,200
873,48495928,10,48447291,48547291,2020,200
874,48496046,8,48357343,48857343,2019,200
