,leagueId,number_of_teams,startId,endId,seasonId,status_code
0,48347143,12,48347143,48347243,2019,200
0,48347191,10,48347143,48347243,2019,200
0,48347259,8,48347243,48347343,2019,200
0,48347360,12,48347343,48357343,2019,200
0,48347430,12,48347343,48357343,2019,200
0,48347718,10,48347343,48357343,2019,200
0,48347719,10,48347343,48357343,2019,200
0,48347781,9,48347343,48357343,2019,200
0,48347872,4,48347343,48357343,2019,200
0,48348530,13,48347343,48357343,2019,200
0,48349035,8,48347343,48357343,2019,200
0,48349290,8,48347343,48357343,2019,200
0,48349327,4,48347343,48357343,2019,200
0,48349987,6,48347343,48357343,2019,200
0,48350000,10,48347343,48357343,2019,200
0,48350409,6,48347343,48357343,2019,200
0,48350601,8,48347343,48357343,2019,200
0,48350704,6,48347343,48357343,2019,200
0,48350851,3,48347343,48357343,2019,200
0,48351050,4,48347343,48357343,2019,200
0,48351094,4,48347343,48357343,2019,200
0,48351131,4,48347343,48357343,2019,200
0,48351138,10,48347343,48357343,2019,200
0,48351144,12,48347343,48357343,2019,200
0,48351210,12,48347343,48357343,2019,200
0,48351229,10,48347343,48357343,2019,200
0,48351711,10,48347343,48357343,2019,200
0,48351817,6,48347343,48357343,2019,200
0,48351917,4,48347343,48357343,2019,200
0,48352002,10,48347343,48357343,2019,200
0,48352141,10,48347343,48357343,2019,200
0,48352265,10,48347343,48357343,2019,200
0,48352299,4,48347343,48357343,2019,200
0,48352467,4,48347343,48357343,2019,200
0,48352577,10,48347343,48357343,2019,200
0,48352915,8,48347343,48357343,2019,200
0,48352990,12,48347343,48357343,2019,200
0,48353495,14,48347343,48357343,2019,200
0,48353535,5,48347343,48357343,2019,200
0,48353639,4,48347343,48357343,2019,200
0,48353857,11,48347343,48357343,2019,200
0,48354169,4,48347343,48357343,2019,200
0,48354506,4,48347343,48357343,2019,200
0,48354532,10,48347343,48357343,2019,200
0,48354825,12,48347343,48357343,2019,200
0,48354948,8,48347343,48357343,2019,200
0,48355068,12,48347343,48357343,2019,200
0,48355260,8,48347343,48357343,2019,200
0,48355263,3,48347343,48357343,2019,200
0,48355409,18,48347343,48357343,2019,200
0,48355573,8,48347343,48357343,2019,200
0,48355738,8,48347343,48357343,2019,200
0,48355885,10,48347343,48357343,2019,200
0,48355927,10,48347343,48357343,2019,200
0,48356196,13,48347343,48357343,2019,200
0,48356229,4,48347343,48357343,2019,200
0,48356371,12,48347343,48357343,2019,200
0,48356436,10,48347343,48357343,2019,200
0,48356442,15,48347343,48357343,2019,200
0,48357133,10,48347343,48357343,2019,200
0,48357187,6,48347343,48357343,2019,200
0,28050995,10,28050863,28060863,2019,200
0,28051684,8,28050863,28060863,2019,200
0,28051794,4,28050863,28060863,2019,200
0,28052074,12,28050863,28060863,2019,200
0,28052243,12,28050863,28060863,2019,200
0,28052282,12,28050863,28060863,2019,200
0,28052298,8,28050863,28060863,2019,200
0,28052350,8,28050863,28060863,2019,200
0,28052416,6,28050863,28060863,2019,200
0,28052546,10,28050863,28060863,2019,200
0,28052595,12,28050863,28060863,2019,200
0,28052601,8,28050863,28060863,2019,200
0,28053271,8,28050863,28060863,2019,200
0,28053278,10,28050863,28060863,2019,200
0,28053703,9,28050863,28060863,2019,200
0,28054187,7,28050863,28060863,2019,200
0,28054264,5,28050863,28060863,2019,200
0,28054407,4,28050863,28060863,2019,200
0,28054447,10,28050863,28060863,2019,200
0,28054611,10,28050863,28060863,2019,200
0,28054624,10,28050863,28060863,2019,200
0,28054753,8,28050863,28060863,2019,200
0,28054860,10,28050863,28060863,2019,200
0,28055014,8,28050863,28060863,2019,200
0,28055186,8,28050863,28060863,2019,200
0,28055252,10,28050863,28060863,2019,200
0,28055270,10,28050863,28060863,2019,200
0,28055485,9,28050863,28060863,2019,200
0,28055628,8,28050863,28060863,2019,200
0,28055666,7,28050863,28060863,2019,200
0,28055744,10,28050863,28060863,2019,200
0,28055858,12,28050863,28060863,2019,200
0,28056018,10,28050863,28060863,2019,200
0,28056122,5,28050863,28060863,2019,200
0,28056904,6,28050863,28060863,2019,200
0,28056918,6,28050863,28060863,2019,200
0,28056993,10,28050863,28060863,2019,200
0,28057018,4,28050863,28060863,2019,200
0,28057031,12,28050863,28060863,2019,200
0,28057074,10,28050863,28060863,2019,200
0,28057230,8,28050863,28060863,2019,200
0,28057279,10,28050863,28060863,2019,200
0,28057916,10,28050863,28060863,2019,200
0,28057920,7,28050863,28060863,2019,200
0,28058392,12,28050863,28060863,2019,200
0,28058599,14,28050863,28060863,2019,200
0,28058773,10,28050863,28060863,2019,200
0,28058860,13,28050863,28060863,2019,200
0,28058886,4,28050863,28060863,2019,200
0,28059125,10,28050863,28060863,2019,200
0,28059251,12,28050863,28060863,2019,200
0,28059443,9,28050863,28060863,2019,200
0,28059697,8,28050863,28060863,2019,200
0,28059787,6,28050863,28060863,2019,200
0,28059892,8,28050863,28060863,2019,200
0,28060165,4,28050863,28060863,2019,200
0,28060247,10,28050863,28060863,2019,200
0,28060255,8,28050863,28060863,2019,200
0,28060610,4,28050863,28060863,2019,200
0,28060808,10,28050863,28060863,2019,200
0,68990194,10,68990082,69000082,2019,200
0,68990320,6,68990082,69000082,2019,200
0,68990383,4,68990082,69000082,2019,200
0,68990450,1,68990082,69000082,2019,200
0,68990869,8,68990082,69000082,2019,200
0,68990921,4,68990082,69000082,2019,200
0,68990976,12,68990082,69000082,2019,200
0,68991061,10,68990082,69000082,2019,200
0,68991094,8,68990082,69000082,2019,200
0,68991204,4,68990082,69000082,2019,200
0,68991240,12,68990082,69000082,2019,200
0,68991452,12,68990082,69000082,2019,200
0,68991630,8,68990082,69000082,2019,200
0,68991991,10,68990082,69000082,2019,200
0,68992041,12,68990082,69000082,2019,200
0,68992265,12,68990082,69000082,2019,200
0,68992447,12,68990082,69000082,2019,200
0,68992582,12,68990082,69000082,2019,200
0,68993099,10,68990082,69000082,2019,200
0,68993143,7,68990082,69000082,2019,200
0,68993886,8,68990082,69000082,2019,200
0,68993984,10,68990082,69000082,2019,200
0,68994101,6,68990082,69000082,2019,200
0,68994259,4,68990082,69000082,2019,200
0,68994262,12,68990082,69000082,2019,200
0,68994552,6,68990082,69000082,2019,200
0,68994580,12,68990082,69000082,2019,200
0,68994631,12,68990082,69000082,2019,200
0,68995317,8,68990082,69000082,2019,200
0,68995340,14,68990082,69000082,2019,200
0,68995483,6,68990082,69000082,2019,200
0,68995530,10,68990082,69000082,2019,200
0,68995818,10,68990082,69000082,2019,200
0,68995931,4,68990082,69000082,2019,200
0,68996148,12,68990082,69000082,2019,200
0,68996185,8,68990082,69000082,2019,200
0,68996309,8,68990082,69000082,2019,200
0,68996722,9,68990082,69000082,2019,200
